,text,labels_D,labels_T,labels_direct_D,labels_direct_T,labels_indirect_D,labels_indirect_T
10,"Zeeusche Pens en Hoofdvleesch, hoe men die maaken zal.","[{'span': 'Zeeusche Pens', 'type': 'Animals-Products-Literal'}, {'span': 'Hoofdvleesch,', 'type': 'Animals-Products-Literal'}]","[{'span': 'Zeeusche Pens', 'type': 'Animals-Products-Literal'}, {'span': 'Hoofdvleesch', 'type': 'Animals-Products-Literal'}]",[],[],"[{'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'hoofdvleesch', 'type': 'Animals-Parts-Literal'}]","[{'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'hoofdvleesch', 'type': 'Animals-Products-Literal'}]"
11,"Ossen en Koeyen vallen niet groter dan het kleinst geestvee in Duitsland; hebben, gelyk bereids gezegt is, gene Hoornen, en genieten alleen het voorrecht, door de huis lieden in den winter mede onder 't dak genomen en met het zo kommerlyk gewonnen hooy, of, by mangel van het zelve, met het gedroogd zeegewas Zeenestel spaarzaam gevoed te worden.","[{'span': 'Ossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Collective-Literal'}, {'span': 'Hoornen', 'type': 'Animals-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Products-Literal'}, {'span': 'Zeenestel', 'type': 'Plants-Products-Literal'}]","[{'span': 'Ossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Organisms-Literal'}, {'span': 'Hoornen', 'type': 'Animals-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Products-Literal'}, {'span': 'Zeenestel', 'type': 'Plants-Products-Literal'}]","[{'span': 'Ossen en Koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Collective-Literal'}, {'span': 'Hoornen', 'type': 'Animals-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Products-Literal'}, {'span': 'zeegewas Zeenestel', 'type': 'Plants-Products-Literal'}]","[{'span': 'Ossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'Koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Collective-Literal'}, {'span': 'Hoornen', 'type': 'Animals-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Products-Literal'}, {'span': 'zeegewas', 'type': 'Plants-Collective-Literal'}, {'span': 'Zeenestel', 'type': 'Plants-Parts-Literal'}]","[{'span': 'ossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Collective-Literal'}, {'span': 'hoornen', 'type': 'Plants-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Products-Literal'}, {'span': 'zeenestel', 'type': 'Animals-Products-Literal'}]","[{'span': 'ossen', 'type': 'Animals-Organisms-Literal'}, {'span': 'koeyen', 'type': 'Animals-Organisms-Literal'}, {'span': 'geestvee', 'type': 'Animals-Collective-Literal'}, {'span': 'hoornen', 'type': 'Plants-Parts-Literal'}, {'span': 'hooy', 'type': 'Plants-Parts-Literal'}, {'span': 'zeegewas', 'type': 'Animals-Collective-Literal'}, {'span': 'zeenestel', 'type': 'Animals-Collective-Literal'}]"
12,"Men stopt de beulingen maar half vol om dat die anders te ligt uitkooken of barsten; en men bind ze met een touwtje onder en boven toe, en dan wordenze op een schootel plat nedergelegt, tot dat ze gekookt worden: Voor al moet men niet vergeeten genoeg vet daar in te doen, want anders zyn de Leverbeulingen te droog.","[{'span': 'vet', 'type': 'Animals-Products-Literal'}]","[{'span': 'beulingen', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'Leverbeulingen', 'type': 'Animals-Products-Literal'}]","[{'span': 'beulingen', 'type': 'Animals-Products-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}]","[{'span': 'beulingen', 'type': 'Animals-Products-Literal'}, {'span': 'Leverbeulingen', 'type': 'Animals-Products-Literal'}]","[{'span': 'beulingen', 'type': 'Animals-Parts-Literal'}, {'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'leverbeulingen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'beulingen', 'type': 'Animals-Parts-Literal'}, {'span': 'leverbeulingen', 'type': 'Animals-Parts-Literal'}]"
13,"weshalven de boeren 'er aldaar meer acht op geven. Dezen jagen alleen de Hamels in 't gebergte; doch houden de Oyen zo veel by huis, als doenlyk is.","[{'span': 'Oyen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Hamels', 'type': 'Animals-Organisms-Literal'}, {'span': 'Oyen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Hamels', 'type': 'Animals-Organisms-Literal'}, {'span': 'Oyen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'Hamels', 'type': 'Animals-Organisms-Literal'}, {'span': 'Oyen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'hamels', 'type': 'Animals-Organisms-Literal'}, {'span': 'oyen', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'hamels', 'type': 'Animals-Organisms-Literal'}, {'span': 'oyen', 'type': 'Animals-Organisms-Literal'}]"
14,"Als men zo veel moeiten niet doen wil om Rolpens en Hoofd-vleesch te maaken, zo snyd men de pens in stukken, en men kookt het met de kop tot dat alles gaar is, en dan legt men het vleesch met de pens door een, met wat zout en heele peper, in den azyn, in een keulse aarde pot, is heel goed om met appelen des winters gebakken te eeten.
17.","[{'span': 'Hoofd-vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'appelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'Rolpens', 'type': 'Animals-Products-Literal'}, {'span': 'Hoofd-vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'appelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'Rolpens', 'type': 'Animals-Products-Literal'}, {'span': 'Hoofd-vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Parts-Literal'}, {'span': 'kop', 'type': 'Animals-Parts-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'appelen', 'type': 'Plants-Products-Literal'}]",[],"[{'span': 'rolpens', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'kop', 'type': 'Animals-Parts-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Parts-Literal'}, {'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'azyn', 'type': 'Plants-Products-Literal'}, {'span': 'appelen', 'type': 'Plants-Products-Literal'}]","[{'span': 'rolpens', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'pens', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'zout', 'type': 'Plants-Products-Literal'}, {'span': 'peper', 'type': 'Plants-Products-Literal'}, {'span': 'azyn', 'type': 'Plants-Products-Literal'}, {'span': 'appelen', 'type': 'Plants-Products-Literal'}]"
15,"De Boter kaarnen de meesten voor en na zo hairig, als zy uit ongereinigde melk in een zamengenaaide schapenvacht gemolken is, en leggen dezelve dus op; weshalven een vreemdeling die Boter niet ligtelyk door de keel zoude konnen krygen.","[{'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvacht', 'type': 'Animals-Parts-Literal'}]","[{'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvacht', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvacht', 'type': 'Animals-Parts-Literal'}, {'span': 'Boter', 'type': 'Animals-Products-Literal'}]","[{'span': 'boter', 'type': 'Animals-Products-Literal'}, {'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvacht', 'type': 'Animals-Products-Literal'}, {'span': 'boter', 'type': 'Animals-Products-Literal'}]","[{'span': 'boter', 'type': 'Animals-Products-Literal'}, {'span': 'melk', 'type': 'Animals-Products-Literal'}, {'span': 'schapenvacht', 'type': 'Animals-Products-Literal'}]"
16,"Dan neemt men een groote vleesch keetel en men hangt ze vol regen water over het vuur, en als het water kookt doet men de beulingen daar in, dat die regt uit en niet op malkanderen leggen, daarom mag men niet meer als anderhalf douzyn beulingen te gelyk kooken; en ze moeten heel zagtjes kooken, omtrent een half uur lang.",[],"[{'span': 'beulingen', 'type': 'Animals-Products-Literal'}, {'span': 'beulingen', 'type': 'Animals-Products-Literal'}]",[],[],"[{'span': 'beulingen', 'type': 'Animals-Parts-Literal'}, {'span': 'beulingen', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'beulingen', 'type': 'Animals-Parts-Literal'}, {'span': 'beulingen', 'type': 'Animals-Parts-Literal'}]"
17,"Afhakken van 't vleesch in de Slacht-tyd, en hoe men de stukken best en ten meesten voordeelen zal gebruiken, en hoe men verder met alles in de Slacht-tyd, moet handelen.
1.","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]",[],"[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'Slacht-tyd', 'type': 'Animals-Collective-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'stukken', 'type': 'Animals-Products-Literal'}]"
18,"Neemt by de 20 ponden, gehakt redelyk vet, varkens vleesch, anderhalf loot of twee loot nootemuscaten; twee loot nagelen; twee loot zwarte peeper, dit alles ter deegen fyn gestooten zynde, zo roert men het onder anderhalf vierendeel zout, en men kneed het door het gekapte Varkensvleesch heen; en men laat het zo een nacht met een schoone doek bedekt staan doortrekken.","[{'span': 'varkens vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'zwarte peeper', 'type': 'Plants-Products-Literal'}, {'span': 'Varkensvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'varkens vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'Varkensvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'varkens vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'zwarte peeper', 'type': 'Plants-Products-Literal'}, {'span': 'Varkensvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'zwarte peeper', 'type': 'Plants-Products-Literal'}]","[{'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'varkens', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'peeper', 'type': 'Plants-Products-Literal'}, {'span': 'varkensvleesch', 'type': 'Animals-Products-Literal'}]","[{'span': 'vet', 'type': 'Animals-Products-Literal'}, {'span': 'varkens', 'type': 'Animals-Products-Literal'}, {'span': 'vleesch', 'type': 'Animals-Products-Literal'}, {'span': 'nootemuscaten', 'type': 'Plants-Products-Literal'}, {'span': 'nagelen', 'type': 'Plants-Products-Literal'}, {'span': 'zwarte', 'type': 'Plants-Products-Literal'}, {'span': 'peeper', 'type': 'Plants-Products-Literal'}, {'span': 'zout', 'type': 'Animals-Products-Literal'}, {'span': 'varkensvleesch', 'type': 'Animals-Products-Literal'}]"
19,"Hunne vellen vallen in den winter, als zy het meeste en vastste hair hebben, het best; weshalven de Yslanders dezelve dan naarstig vangen, en wel, uit aangebore afschuuw van schietgeweer, met uitgezette netten of vangyzers, die gelyk een kleermakersschaar gevormt, en met een dood lam ten lokaas voorzien zyn.","[{'span': 'vellen', 'type': 'Animals-Parts-Literal'}, {'span': 'hair', 'type': 'Animals-Parts-Literal'}]","[{'span': 'vellen', 'type': 'Animals-Parts-Literal'}, {'span': 'hair', 'type': 'Animals-Parts-Literal'}, {'span': 'lam', 'type': 'Animals-Products-Literal'}]",[],[],"[{'span': 'vellen', 'type': 'Animals-Products-Literal'}, {'span': 'hair', 'type': 'Animals-Parts-Literal'}, {'span': 'lam', 'type': 'Animals-Organisms-Literal'}]","[{'span': 'vellen', 'type': 'Animals-Parts-Literal'}, {'span': 'hair', 'type': 'Animals-Parts-Literal'}, {'span': 'lam', 'type': 'Animals-Organisms-Literal'}]"
20,"geweld der uitbrekende en uitgezette lucht een groot gedeelte van den berg, 't geen te zwaar was, om opgeligt te worden, op zyde en niet slegts een gantsche myl wegs langs het eiland tot aan het strand, maar zelfs noch een myl verr' in zee voortgeschoven, en aldaar neder gezet wierd, alwaar het, onaangezien de diepte, in den beginne wel 60 vademen boven het water uitstak, en aldaar merendeels noch staat e.",[],[],[],[],[],[]
